e1,e2,de2_dt,v_norm,heading_error,kappa,kappa_max_lookahead,s,t_norm,V_opt
0.0,0.0,0.0,0.0,0.0,0.27534788996764653,0.27534790384810426,0.0,2.900601,3.0
0.0,0.0,0.0,0.0,0.0,0.27534769929349306,0.27534796035052467,0.151515,2.900601,3.0
0.0,0.0,0.0,0.0,0.0,0.2753478119533144,0.27534790077858046,0.30303,2.900601,3.0
0.0,0.0,0.0,0.0,0.0,0.27534785492258124,0.27534785492258124,0.454545,2.900601,3.0
0.0,0.0,0.0,0.0,0.0,0.27534774901335196,0.2753479304581698,0.606061,2.900601,3.0
0.0,0.0,0.0,0.0,0.0,0.27534779126373277,0.2753479681082663,0.757576,2.900601,3.0
0.0,0.0,0.0,0.0,0.0,0.2753477363182915,0.27534791728384106,0.909091,2.900601,3.0
0.0,0.0,0.0,0.0,0.0,0.2753480564817711,0.2753480564817711,1.060606,2.900601,3.0
0.0,0.0,0.0,0.0,0.0,0.2753480113072925,0.2753480674904065,1.212121,2.900601,3.0
0.0,0.0,0.0,0.0,0.0,0.2753479450621293,0.27534807515592213,1.363636,2.900601,3.0
0.0,0.0,0.0,0.0,0.0,0.27534784300969867,0.2753479218482001,1.515152,2.900601,3.0
0.0,0.0,0.0,0.0,0.0,0.2753477503313056,0.2753478659718595,1.666667,2.900601,3.0
0.0,0.0,0.0,0.0,0.0,0.2753477395871485,0.2753478796341725,1.818182,2.900601,3.0
0.0,0.0,0.0,0.0,0.0,0.2753479185426769,0.2753480349100577,1.969697,2.900601,3.0
0.0,0.0,0.0,0.0,0.0,0.2753477533627737,0.27534802578241224,2.121212,2.900601,3.0
0.0,0.0,0.0,0.0,0.0,0.2753477320731983,0.2753479570443148,2.272727,2.900601,3.0
0.0,0.0,0.0,0.0,0.0,0.2753478443833312,0.27534793038975247,2.424242,2.900601,3.0
0.0,0.0,0.0,0.0,0.0,0.2753477064816223,0.2753479409759648,2.575758,2.900601,3.0
0.0,0.0,0.0,0.0,0.0,0.275347889922718,0.2753479420182093,2.727273,2.900601,3.0
0.0,0.0,0.0,0.0,0.0,0.27534781914218986,0.27534790549109966,2.878788,2.900601,3.0
0.0,0.0,0.0,0.0,0.0,0.27534796732524364,0.27534796732524364,3.030303,2.900601,3.0
0.0,0.0,0.0,0.0,0.0,0.2753477526815324,0.27534796696561076,3.181818,2.900601,3.0
0.0,0.0,0.0,0.0,0.0,0.2753477259219032,0.2753479030562995,3.333333,2.900601,3.0
